date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:08	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jan%202021%2019:34:56%20GMT	https://www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont-1.eot	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont-1.eot	(from https://www.wowmomosfranchise.com/font-awesome/4.7.0/css/font-awesome.min.css)
23:02:10	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2025%20Jan%202021%2019:34:56%20GMT	https://www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2	(from https://www.wowmomosfranchise.com/font-awesome/4.7.0/css/font-awesome.min.css)
23:02:10	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2025%20Jan%202021%2019:34:56%20GMT	https://www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff	(from https://www.wowmomosfranchise.com/font-awesome/4.7.0/css/font-awesome.min.css)
23:02:13	165548/165548	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2025%20Jan%202021%2019:34:56%20GMT	https://www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.ttf	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.ttf	(from https://www.wowmomosfranchise.com/font-awesome/4.7.0/css/font-awesome.min.css)
23:02:13	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:14%20GMT	https://www.wowmomosfranchise.com/assets/front/css/images/owl.video.play.png	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/assets/front/css/images/owl.video.play.png	(from https://www.wowmomosfranchise.com/assets/front/css/owl.carousel.min.css)
23:02:13	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Jan%202021%2019:34:56%20GMT	https://www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg	(from https://www.wowmomosfranchise.com/font-awesome/4.7.0/css/font-awesome.min.css)
23:02:14	4724/4724	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2017:32:15%20GMT	https://www.wowmomosfranchise.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/cdn-cgi/l/email-protection.html	(from https://www.wowmomosfranchise.com/status.html)
23:02:15	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:16%20GMT	https://www.wowmomosfranchise.com/return-policy	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/return-policy	(from https://www.wowmomosfranchise.com/status.html)
23:02:15	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:16%20GMT	https://www.wowmomosfranchise.com/privacy-policy	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/privacy-policy	(from https://www.wowmomosfranchise.com/status.html)
23:02:15	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:16%20GMT	https://www.wowmomosfranchise.com/term-conditions	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/term-conditions	(from https://www.wowmomosfranchise.com/status.html)
23:02:15	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:16%20GMT	https://www.wowmomosfranchise.com/html	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/html	(from https://www.wowmomosfranchise.com/return-policy.html)
23:02:16	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:17%20GMT	https://www.wowmomosfranchise.com/index.html	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/index-2.html	(from https://www.wowmomosfranchise.com/term-conditions.html)
